# MLCS2k2 distances to high-z SNIa
# from Riess et al 2007 and Suzuki et al 2012
# survey  z   dm_mlcs  dm_mlcs_err  dm_salt  dm_salt_err
goods  1.3000 44.8181 0.1307    44.7290881912 0.203003201216 
goods  1.3400 44.802 0.1902	  44.8844426761 0.234998843072 
goods  1.1400 44.3681 0.1018	  44.2035271984 0.26023005779 	
goods  1.3070 45.0093 0.2739	  44.9760866011 0.311428430088 
goods  1.2300 45.0513 0.2075	  44.9041278996 0.37396643003 	
goods  1.2300 44.8716 0.1433	  44.8927978459 0.19774971293 	
goods  1.3700 45.0124 0.1543	  44.9761661763 0.287949008646 
goods  1.1400 44.5815 0.2841	  44.6607307345 0.300219444032 
goods  1.3900 44.685 0.1890	  44.8398705569 0.284597021493 
goods  1.3050 44.6707 0.3476	  44.553385172 0.335714069677 	
goods  1.2650 44.7086 0.2374	  44.663192625 0.226778817878 	
scp  1.3150 44.9317 0.1760     44.8969030014 0.24275417204 	
scp  1.1920 44.669 0.3418		 44.623116758 0.366248991242 	
scp  1.3500 44.525 0.2468		 44.6401392809 0.25206991875 	
scp  1.2310 44.5702 0.4136		 44.4898157451 0.489368906337 
scp  1.4150 44.7239 0.4603		 44.6035218143 0.420884650266 
scp  1.1880 44.4585 0.3620		 44.3331456328 0.65385265938 	
scp  1.2120 45.0988 0.3113		 44.9549072958 0.572110487956 
